iteration,alpha,learner,llh
1,0.01,1050,1.00E+000
2,0.01,1050,6.81E-001
3,0.01,1050,6.70E-001
4,0.01,1050,6.61E-001
5,0.01,1050,6.49E-001
6,0.01,1050,6.41E-001
7,0.01,1050,6.33E-001
8,0.01,1050,6.24E-001
9,0.01,1050,6.15E-001
10,0.01,1050,6.13E-001
11,0.01,1050,6.06E-001
12,0.01,1050,5.99E-001
13,0.01,1050,5.97E-001
14,0.01,1050,5.94E-001
15,0.01,1050,5.90E-001
16,0.01,1050,5.86E-001
17,0.01,1050,5.83E-001
1,0.1,2101,1.00E+000
2,0.1,2101,6.07E-001
3,0.1,2101,5.72E-001
4,0.1,2101,5.58E-001
5,0.1,2101,5.38E-001
6,0.1,2101,5.23E-001
7,0.1,2101,5.14E-001
8,0.1,2101,4.99E-001
9,0.1,2101,4.90E-001
10,0.1,2101,4.87E-001
11,0.1,2101,4.78E-001
12,0.1,2101,4.72E-001
13,0.1,2101,4.71E-001
14,0.1,2101,4.68E-001
15,0.1,2101,4.64E-001
16,0.1,2101,4.61E-001
17,0.1,2101,4.58E-001
1,1,3535,1.00E+000
2,1,3535,5.18E-001
3,1,3535,5.29E-001
4,1,3535,5.09E-001
5,1,3535,5.01E-001
6,1,3535,4.86E-001
7,1,3535,4.56E-001
8,1,3535,4.40E-001
9,1,3535,4.20E-001
10,1,3535,4.16E-001
11,1,3535,4.00E-001
12,1,3535,3.88E-001
13,1,3535,3.82E-001
14,1,3535,3.78E-001
15,1,3535,3.70E-001
16,1,3535,3.63E-001
17,1,3535,3.57E-001
1,10,4202,1.00E+000
2,10,4202,7.98E-001
3,10,4202,1.04E+000
4,10,4202,1.05E+000
5,10,4202,9.54E-001
6,10,4202,8.73E-001
7,10,4202,6.85E-001
8,10,4202,5.67E-001
9,10,4202,4.50E-001
10,10,4202,4.32E-001
11,10,4202,3.55E-001
12,10,4202,3.05E-001
13,10,4202,2.82E-001
14,10,4202,2.70E-001
15,10,4202,2.43E-001
16,10,4202,2.22E-001
17,10,4202,2.05E-001
1,100,5314,1.00E+000
2,100,5314,7.98E-001
3,100,5314,1.04E+000
4,100,5314,1.13E+000
5,100,5314,1.24E+000
6,100,5314,1.20E+000
7,100,5314,1.00E+000
8,100,5314,8.44E-001
9,100,5314,6.56E-001
10,100,5314,6.24E-001
11,100,5314,4.87E-001
12,100,5314,3.98E-001
13,100,5314,3.58E-001
14,100,5314,3.35E-001
15,100,5314,2.90E-001
16,100,5314,2.55E-001
17,100,5314,2.28E-001
