iteration,alpha,learner,accuracy,recall,precision,f1,auc
1,0.01,1050,0.625,0.44,0.5238,0.4783,0.6892
2,0.01,1050,0.6719,0.3043,0.5833,0.4,0.7447
3,0.01,1050,0.6875,0.2391,0.6875,0.3548,0.7631
4,0.01,1050,0.6855,0.1882,0.7778,0.303,0.7713
5,0.01,1050,0.6844,0.1729,0.807,0.2848,0.7828
6,0.01,1050,0.6836,0.1586,0.8429,0.267,0.7835
7,0.01,1050,0.6837,0.1523,0.871,0.2592,0.7963
8,0.01,1050,0.6846,0.1505,0.8889,0.2575,0.801
9,0.01,1050,0.6849,0.1504,0.8955,0.2575,0.8037
10,0.01,1050,0.6895,0.1607,0.9144,0.2734,0.809
11,0.01,1050,0.6948,0.1737,0.9277,0.2926,0.8129
12,0.01,1050,0.6965,0.1774,0.9329,0.2981,0.812
13,0.01,1050,0.699,0.1848,0.9335,0.3086,0.8161
14,0.01,1050,0.7022,0.1939,0.9352,0.3212,0.8187
15,0.01,1050,0.7049,0.2016,0.9367,0.3318,0.8208
16,0.01,1050,0.7075,0.2089,0.9381,0.3416,0.8227
1,0.1,2101,0.6562,0.48,0.5714,0.5217,0.7405
2,0.1,2101,0.7266,0.4565,0.6774,0.5455,0.7839
3,0.1,2101,0.7227,0.4348,0.678,0.5298,0.7857
4,0.1,2101,0.7383,0.4516,0.7241,0.5563,0.8029
5,0.1,2101,0.7541,0.4662,0.7654,0.5794,0.8217
6,0.1,2101,0.7549,0.4892,0.749,0.5919,0.8247
7,0.1,2101,0.7664,0.5226,0.7596,0.6192,0.8355
8,0.1,2101,0.7729,0.5565,0.7541,0.6404,0.8377
9,0.1,2101,0.775,0.5589,0.7585,0.6436,0.8412
10,0.1,2101,0.7828,0.5893,0.7591,0.6635,0.8449
11,0.1,2101,0.7877,0.609,0.7591,0.6758,0.8476
12,0.1,2101,0.7883,0.6142,0.7572,0.6783,0.8464
13,0.1,2101,0.7908,0.6234,0.7578,0.6841,0.8497
14,0.1,2101,0.7927,0.6337,0.7564,0.6897,0.8516
15,0.1,2101,0.7941,0.6414,0.755,0.6936,0.8532
16,0.1,2101,0.7957,0.6491,0.7544,0.6978,0.8546
1,1,3535,0.7656,0.64,0.7273,0.6809,0.8431
2,1,3535,0.7656,0.6522,0.6818,0.6667,0.8136
3,1,3535,0.7891,0.6957,0.7111,0.7033,0.8155
4,1,3535,0.7715,0.6667,0.6927,0.6795,0.8129
5,1,3535,0.7801,0.6729,0.7075,0.6898,0.8239
6,1,3535,0.7988,0.7016,0.7331,0.717,0.8449
7,1,3535,0.8094,0.7086,0.7525,0.7299,0.857
8,1,3535,0.8242,0.7272,0.7751,0.7503,0.8711
9,1,3535,0.8238,0.7243,0.7758,0.7492,0.8741
10,1,3535,0.833,0.734,0.7913,0.7616,0.8856
11,1,3535,0.8402,0.7421,0.8031,0.7714,0.8941
12,1,3535,0.845,0.7466,0.8115,0.7777,0.8983
13,1,3535,0.8468,0.7487,0.8146,0.7803,0.9006
14,1,3535,0.8521,0.7546,0.8236,0.7876,0.906
15,1,3535,0.8564,0.7599,0.8305,0.7936,0.9106
16,1,3535,0.86,0.764,0.8367,0.7987,0.9145
1,10,4202,0.7344,0.64,0.6667,0.6531,0.8164
2,10,4202,0.7031,0.587,0.587,0.587,0.7699
3,10,4202,0.7305,0.6196,0.6264,0.623,0.7717
4,10,4202,0.7285,0.6183,0.6284,0.6233,0.7682
5,10,4202,0.7391,0.6353,0.6426,0.6389,0.7799
6,10,4202,0.7881,0.6962,0.7135,0.7048,0.8328
7,10,4202,0.8176,0.7256,0.7613,0.743,0.8585
8,10,4202,0.8564,0.7755,0.8196,0.797,0.8937
9,10,4202,0.8616,0.782,0.8276,0.8041,0.899
10,10,4202,0.888,0.8186,0.8658,0.8415,0.9231
11,10,4202,0.906,0.8451,0.8906,0.8673,0.9388
12,10,4202,0.9153,0.8602,0.902,0.8806,0.9459
13,10,4202,0.9196,0.8659,0.9086,0.8868,0.9496
14,10,4202,0.9301,0.8829,0.9215,0.9018,0.9574
15,10,4202,0.9384,0.8966,0.9312,0.9136,0.9633
16,10,4202,0.9451,0.9077,0.9391,0.9231,0.9679
17,10,4202,0.9504,0.9165,0.9453,0.9307,0.9716
1,100,5314,0.7344,0.64,0.6667,0.6531,0.8164
2,100,5314,0.7109,0.587,0.6,0.5934,0.7712
3,100,5314,0.7383,0.6196,0.6404,0.6298,0.7695
4,100,5314,0.7246,0.5968,0.6271,0.6116,0.7553
5,100,5314,0.7322,0.609,0.6378,0.6231,0.7711
6,100,5314,0.7695,0.6613,0.691,0.6758,0.8117
7,100,5314,0.7944,0.7011,0.7243,0.7125,0.8431
8,100,5314,0.834,0.7567,0.7798,0.7681,0.8804
9,100,5314,0.8411,0.7669,0.7897,0.7781,0.8873
10,100,5314,0.8753,0.8177,0.8357,0.8266,0.9175
11,100,5314,0.8984,0.8511,0.8668,0.8589,0.9364
12,100,5314,0.9092,0.8669,0.8811,0.874,0.9445
13,100,5314,0.9153,0.8759,0.8893,0.8826,0.9489
14,100,5314,0.9274,0.8937,0.9053,0.8995,0.9577
15,100,5314,0.9365,0.907,0.9173,0.9121,0.9641
16,100,5314,0.9435,0.9173,0.9266,0.9219,0.9689
